Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Categories,Countries,Barcode,Nutri-Score,Ecoscore,Comprehensive Score,Scaled Score,Category
Lightly sea salted crisps,1992.0,0.64,2.4,0.825,6.2,5.5,0,"Snacks, Aliments d'origine végétale, Aliments et boissons à base de végétaux, Amuse-gueules, Chips, Chips de pommes de terre, Chips de pommes de terre classiques, Chips de pommes de terre à l'huile de tournesol, Chips et frites, Céréales et pommes de terre, Snacks salés, en:potato-crisps-in-sunflower-oil",en:france,5060042641000,4,83,35.6,4.0,Good
Chips de lentilles saveur tomate mozza,1915.0,3.7,1.8,1.5,13.0,5.3,0,"Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Biscuits apéritifs, Biscuits apéritifs soufflés, Chips-de-lentilles",en:france,3336971805038,3,78,33.0,4.0,Good
14 Maxi Tranches complet sans sucres ajoutés,1026.0,3.8,0.3,1.2,8.7,6.6,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Wholemeal breads, Wholemeal sliced breads","en:france, en:suisse",3029330022428,5,83,36.2,4.0,Good
"Lu - Cracotte Original Wheat Slices, 250g (8.8oz)",1121.0,3.5,0.7,0.9825,9.3,5.3,0,"Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Snacks,Granen en aardappels,Knapperige broodproducten","en:belgium, en:france, en:luxembourg, en:netherlands, en:switzerland",3041090063114,5,73,32.2,4.0,Good
Biscottes 6 céréales,1698.0,3.4,2.4,1.6,13.0,5.0,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Multigrain rusks","en:belgium, en:france, en:reunion, en:switzerland",3392460480827,3,77,32.6,4.0,Good
Chips Recette Paysanne Nature,2148.0,0.5,3.2,1.3,6.2,3.9,0,"Snacks, Aliments d'origine végétale, Aliments et boissons à base de végétaux, Amuse-gueules, Chips, Chips de pommes de terre, Chips et frites, Chips paysannes, Céréales et pommes de terre, Snacks salés, en:farmer-s-crisps",en:france,3168930168133,3,73,31.000000000000004,4.0,Good
Pain au lait bio x12 420g,1453.0,8.7,1.2,0.9,9.4,2.4,0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks sucrés,Biscuits et gâteaux,en:Sweet pastries and pies,Pains,Viennoiseries,Pains au lait",en:france,3760049798890,4,83,35.6,4.0,Good
BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,102.0,0.5,0.2,0.05,0.7,0.5,0,"Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Nuts and their products, Plant-based beverages, Plant-based milk alternatives, Nut-based drinks, Almond-based drinks, Unsweetened plain almond-based drinks","en:belgium, en:cote-d-ivoire, en:france, en:french-polynesia, en:guadeloupe, en:martinique, en:morocco, en:new-caledonia, en:reunion, en:switzerland, en:united-kingdom",3229820787015,4,80,34.4,4.0,Good
Chips saveur fromage du Jura,2177.0,1.1,2.6,1.7,6.3,4.8,0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Snacks salés,Amuse-gueules,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre aromatisées,en:Amuse-gueules,en:Chips de pommes de terre ondulées",en:france,3497917000907,3,82,34.6,4.0,Good
4 Baguettes viennoises 340g,1376.0,7.8,1.3,0.91,9.7,3.1,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks sucrés, en:Sweet pastries and pies, Viennoiseries, Pains briochés",en:france,3760049790818,4,81,34.8,4.0,Good
Lightly Salted Low Fat Corn Cakes,1615.0,0.3,0.3,0.2,6.9,7.2,0,"Snacks, Salty snacks, Appetizers, Crackers, Puffed salty snacks, Puffed salty snacks made from maize, en:puffed-corn-cakes","en:france, en:united-kingdom",5013665111610,5,72,31.8,4.0,Good
Tartines craquantes à la châtaigne,1616.0,6.5,0.5,0.3,6.7,4.3,0,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Extruded crispbreads, en:crispbreads",en:france,6175634,5,75,33.0,4.0,Good
Saveur Barbecue,1705.0,6.9,0.9,1.62,18.9,8.5,0,"Snacks, Snacks salés, Amuse-gueules, Biscuits apéritifs, en:biscuits-aperitifs-souffles","en:france, en:united-states",3245550078674,3,72,30.6,4.0,Good
Gnocchi à poêler,801.0,1.5,0.3,1.1,5.0,2.6,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Gnocchi,Potato gnocchi,Cooked gnocchis",en:france,3240931548111,4,82,35.2,4.0,Good
Sablé Nature sans sucres,1776.0,0.0,1.2,0.22,6.0,5.2,0,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits sablés","en:france, en:switzerland, en:united-states",3175681134904,5,55,25.0,3.5,Average
Seeded Batch,1220.0,2.62,1.31,0.944,10.7,5.9,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Multigrain sliced breads","en:france, en:united-kingdom",5010044002552,5,68,30.200000000000003,3.5,Good
