Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Nutri-Score,Ecoscore
Menguy's Beurre de cacahuètes creamy,0.7045945945945946,0.087,0.16666666666666666,0.05088757396449704,0.3793626707132018,0.1,0.0,3,30
Granola LU,0.5686486486486486,0.36,0.24561403508771928,0.0591715976331361,0.08649468892261002,0.04925373134328358,0.0,1,40
Le Supérieur - à l'Etouffée - Conservation sans Nitrite,0.13135135135135134,0.005,0.017543859649122806,0.08875739644970415,0.33383915022761756,0.0,0.0,4,23
Amora Moutarde Forte Bocal 430g,0.1635135135135135,0.02,0.012280701754385963,0.2899408284023669,0.11684370257966616,0.05671641791044776,0.0,3,66
Digestive Avena Choco,0.5391891891891892,0.22,0.08421052631578947,0.0591715976331361,0.11532625189681334,0.09701492537313433,0.0,2,62
Galettes au bon beurre,0.534054054054054,0.26,0.17543859649122806,0.051479289940828406,0.11229135053110774,0.03283582089552239,0.0,1,69
Lay's Cuites au four nature,0.5027027027027027,0.053,0.024561403508771926,0.04970414201183432,0.08952959028831563,0.09253731343283582,0.0,4,73
Le Supérieur -25% de Sel - Conservation sans Nitrite,0.12972972972972974,0.005,0.017543859649122806,0.08284023668639054,0.33383915022761756,0.0,0.0,4,25
Grand Arôme 32% de Cacao,0.08162162162162162,0.095,0.01929824561403509,0.006508875739644971,0.05614567526555387,0.011940298507462687,0.0,2,-15
Véritable petit beurre,0.49513513513513513,0.23,0.13157894736842105,0.08224852071005917,0.12139605462822457,0.04477611940298507,0.0,1,75
Pesto Rosso,0.3675675675675676,0.078,0.05964912280701754,0.16568047337278108,0.05766312594840667,0.03432835820895522,0.52,2,49
Coulommiers Doux et Crémeux,0.3172972972972973,0.001,0.2807017543859649,0.08875739644970415,0.2731411229135053,0.0,0.0,2,55
Petit Pains Grillés Blé complet,0.4640540540540541,0.042,0.015789473684210527,0.0591715976331361,0.15174506828528073,0.10298507462686568,0.0,5,95
Pain De Mie Bio,0.31405405405405407,0.061,0.008771929824561403,0.07100591715976332,0.125948406676783,0.08208955223880597,0.0,5,94
Miel de Fleurs Liquide Doseur 500g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,77
Tartine & Cuisson 100% végétal,0.64,0.0,0.2982456140350877,0.01775147928994083,0.0,0.0,0.0,2,62
"BN - French Casse Croute Biscuits, 375g (13.2oz)",0.4297297297297297,0.256,0.03298245614035087,9.230769230769232e-05,0.11380880121396053,0.03731343283582089,0.0,3,44
Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,0.5354054054054054,0.268,0.05964912280701754,0.038461538461538464,0.13201820940819423,0.1044776119402985,0.0,3,36
Huile d'olive vierge extra,0.92,0.0,0.24561403508771928,0.0,0.0,0.0,0.0,3,39
Tartines de Pain Blé Complet,0.43648648648648647,0.042,0.014035087719298246,0.08875739644970415,0.19726858877086492,0.1298507462686567,0.0,4,80
NESTLE CHOCAPIC BIO Céréales,0.44594594594594594,0.225,0.028070175438596492,0.013017751479289942,0.13353566009104703,0.11791044776119403,0.0,5,50
Biscottes,0.4654054054054054,0.068,0.05964912280701754,0.07100591715976332,0.16691957511380878,0.05373134328358209,0.0,2,75
La Madeleine Pur beurre,0.5043243243243243,0.26,0.2807017543859649,0.05325443786982249,0.10015174506828527,0.017910447761194027,0.0,1,49
beurre,0.8278378378378378,0.01,1.0,0.001775147928994083,0.01062215477996965,0.0,0.0,1,25
President emmental coeur de meule 250g,0.41405405405405404,0.005,0.3684210526315789,0.03550295857988166,0.40971168437025796,0.0,0.0,2,42
Le Goût Primeur format familial,0.23,0.03,0.23157894736842102,0.07100591715976332,0.125948406676783,0.0,0.0,2,50
Crunchy Peanut Butter,0.7189189189189189,0.038,0.13859649122807016,0.0591715976331361,0.4203338391502276,1.0,0.0,3,38
POM'POTES Compotes Gourdes Pomme Nature 1x90g,0.06945945945945946,0.11,0.0035087719298245615,0.000591715976331361,0.007587253414264036,0.019402985074626865,0.0,5,89
Muesli avoine chocolat bio,0.4437837837837838,0.087,0.06666666666666667,0.00591715976331361,0.18209408194233687,0.14925373134328357,0.0,5,87
Orangensaft,0.04918918918918919,0.08900000000000001,0.0,0.0,0.012139605462822459,0.008955223880597014,1.0,3,47
Biscuits Germe de Blé et Pépites de Chocolat,0.5286486486486487,0.21,0.04912280701754385,0.04082840236686391,0.13808801213960545,0.0626865671641791,0.0,3,56
Sirop d'agave,0.3554054054054054,0.73,0.0,0.004289940828402367,0.0,0.0,0.0,2,49
Pain grillé Pelletier,0.44,0.025,0.03508771929824561,0.10650887573964497,0.18209408194233687,0.013432835820895522,0.0,2,75
Pain AMS 7 céréales,0.3164864864864865,0.05,0.012280701754385963,0.06686390532544378,0.16236722306525037,0.09701492537313433,0.0,5,84
Pain de mie Bio grandes tranches céréales & graines 500g,0.34216216216216216,0.055999999999999994,0.014035087719298246,0.07100591715976332,0.13353566009104703,0.0791044776119403,0.0,5,91
Le Choco,0.45351351351351354,0.658,0.07368421052631578,0.007100591715976332,0.10318664643399088,0.13582089552238805,0.0,4,-20
Chocolat noir 47% et pointe de fleur de sel,0.5945945945945946,0.47000000000000003,0.3333333333333333,0.021893491124260357,0.08649468892261002,0.0,0.0,1,27
Kiri-Käse,0.34054054054054056,0.02,0.3403508771929824,0.07692307692307693,0.13657056145675264,0.0,0.0,2,56
Ice tea,0.015135135135135135,0.03,0.0,0.001775147928994083,0.0,0.0,0.0,3,62
Biscuits pavot citron,0.5148648648648648,0.16,0.024561403508771926,0.021301775147928994,0.13505311077389984,0.07462686567164178,0.0,4,61
Barista Hafer,0.06945945945945946,0.034,0.005263157894736842,0.00591715976331361,0.01669195751138088,0.011940298507462687,0.0,4,63
